見出し語（品詞）,訳
backfire（自動詞）,（計画などが）裏目に出る、（エンジン・車が）さか火を起こす
backfire（名詞）,バックファイア、さか火、逆効果
catastrophic（形容詞）,壊滅的な、大異変の、最悪の
enigmatic（形容詞）,謎めいた、謎のような、不可解な
baffle（他動詞）,（人）をまごつかせる、…を悩ませる、（計画など）をくじく
denim（名詞）,デニム、（denimsで）ジーンズ
beset（他動詞）,…を悩ませる、…を包囲攻撃する、…を取り囲む
sluggish（形容詞）,のろい、不振の、怠惰な、活気のない
drummer（名詞）,ドラマー、ドラム奏者、泥棒
besiege（他動詞）,…を取り囲む、…を包囲する、…に（質問などを）浴びせる
ardent（形容詞）,熱烈な、熱狂的な、熱心な（限定用法が多い）
adversary（名詞）,敵、敵対者、（競争）相手
bolster（他動詞）,…を強化する、…を鼓舞する、…を支持する
bolster（名詞）,長枕
clan（名詞）,氏族、一族、大家族、仲間
coexist（自動詞）,共存する、同時に存在する
multicultural（形容詞）,多種族文化の、多文化的な
aftermath（名詞）,（戦争・事件などの）余波、結果、後遺症
turbulence（名詞）,（社会的）混乱、動乱、大荒れ、乱気流
peacekeeping（形容詞）,平和維持（活動）の（限定用法）
constrain（他動詞）,…を制限する、…を拘束する、…を抑制する
aggregate（名詞）,合計、総計、集合体
aggregate（他動詞）,…を集める、…を合計する
aggregate（自動詞）,集まる、（aggregate to …で）合計で…になる
counteract（他動詞）,（反作用で）…を阻止する、…を中和する、…を無効にする
erosion（名詞）,浸食、衰え、低下
culminate（自動詞）,結果的に（…に）なる、（…で）最高点に達する
culminate（他動詞）,…を締めくくる
demise（名詞）,崩壊、消滅、死去
bloc（名詞）,連合、圏、ブロック
chic（形容詞）,しゃれた、粋な、あか抜けた
pendant（名詞）,ペンダント、下げ飾り
dangle（自動詞）,（物が）ぶら下がる、（人を）追い回す
dangle（他動詞）,…をぶら下げる、…を見せびらかす
decease（自動詞）,死亡する、死去する
decease（名詞）,死亡、死去
coronation（名詞）,戴冠式、即位
inauguration（名詞）,就任（式）、発会、開業、除幕（式）
defer（他動詞）,…を延期する、…を延ばす
indefinite（形容詞）,無期限の、不明確な、不定の
deflect（他動詞）,…を屈折させる、…をそらす
deflect（自動詞）,屈折する、それる
ultraviolet（形容詞）,紫外（線）の、紫外線を用いた（限定用法が多い）
ultraviolet（名詞）,紫外線（ultraviolet rays）
sunburn（名詞）,日焼け
sunburn（他動詞）,…を日焼けさせる
sunburn（自動詞）,日焼けする
shuttle（名詞）,定期往復便、シャトル
