symposium（名詞）,シンポジウム、討論会
broaden（他動詞）,…を広げる、…を広くする
broaden（自動詞）,広がる、広くなる
ecology（名詞）,生態学（以上は通常 the ecology で）、エコロジー
circulate（自動詞）,（うわさなどが）広まる、（液体などが）循環する、（通貨などが）流通する
circulate（他動詞）,（液体など）を循環させる、（通貨など）を流通させる
corpse（名詞）,死体
marsh（名詞）,沼地、低湿地
fingerprint（名詞）,（通常 fingerprints で）指紋
fingerprint（他動詞）,…の指紋を採取する
coincide（自動詞）,一致する、ぴったり合う、同時に起こる、同一の空間を占める
plumber（名詞）,配管工
comprise（他動詞）,…から成る、…を含む、…で構成される
dictation（名詞）,ディクテーション（の試験）、書き取り、口述
amazement（名詞）,驚き、仰天
contradict（他動詞）,…と矛盾する、…と食い違う、…をきっぱりと否定する、…に反論する
contradict（自動詞）,否定する、反論する
hypothesis（名詞）,仮説、前提、仮定
cripple（他動詞）,…の手足を不自由にする、…を駄目にする、…を損なわせる
cripple（名詞）,手足の不自由な人
lieutenant（名詞）,（陸軍の）中尉、上官代理、（海軍の）大尉
wheelchair（名詞）,車いす
locomotive（名詞）,機関車
locomotive（形容詞）,機関車の
deafen（他動詞）,…の耳を聞こえなくする、（音など）をかき消す
optimism（名詞）,楽観主義、楽天主義
doom（他動詞）,（悪い方向へ）…を運命づける、（失敗・滅亡・破滅など）を決定づける
doom（名詞）,運命、宿命、悲運、破滅、（キリスト教で）最後の審判
bankruptcy（名詞）,破産、倒産、（名声・名誉の）失墜
cylinder（名詞）,シリンダー、円筒
enhance（他動詞）,（品質・価値など）を高める、…を強める、…を増す、（コンピューターなど）の機能を拡張する
enrich（他動詞）,…を質的に向上させる、…を豊かにする、…の栄養価を高める、（ウランなど）を濃縮する
expertise（名詞）,専門的技術［知識］
intensive（形容詞）,短期集中的な、徹底的な、激しい、（文法で）強意の、強調の
smog（名詞）,スモッグ、煙霧
envelop（他動詞）,…を覆う、…を包む、…をくるむ
soloist（名詞）,独奏［独唱］者、ソリスト
expressive（形容詞）,表情豊かな、表現（上）の、（expressive of … で）（…を）表現する、表す
excel（自動詞）,勝る、秀でている
excel（他動詞）,…に勝る、…より秀でている
plaster（名詞）,しっくい、壁土、石こう
plaster（他動詞）,…にしっくいを塗る、…をべたべた塗る、（髪）をべったりとなでつける
flake（自動詞）,はがれ落ちる
flake（他動詞）,…をはがす
flake（名詞）,破片、ひとひら
lavatory（名詞）,トイレ、洗面所
madly（副詞）,狂ったように、激しく、気が狂ったように
flap（自動詞）,（旗などが）はためく、パタパタ動く
flap（他動詞）,（旗など）をはためかせる、パタパタ動かす
