lucrative,利益の大きい
squander,浪費する
flimsy,壊れやすい
incision,切開
lethargic,けだるい
pinnacle,頂点
allay,鎮める
feat,功績
ransack,くまなく探す
caustic,辛辣な
frivolous,軽率な
latitude,自由
adept,熟練して
avid,熱心な
asylum,亡命
placate,なだめる
pristine,新品同様の
blatantly,公然と
attire,服装
offshoot,派生したもの
gullible,だまされやすい
hindsight,あと知恵
ambush,待ち伏せ
zenith,頂点
prognosis,予後
meticulous,細心の注意を払った
acrimony,とげとげしさ
propensity,傾向
entice,誘惑する
alienate,遠ざける
exonerate,無罪を証明する
clamor,騒音
respite,小休止
huddle,身を寄せ合う
figment,空想
tenacious,粘り強い
extol,絶賛する
aversion,嫌悪
immaculate,清潔な
gregarious,社交的な
ostracize,のけ者にする
uncouth,無作法な
salient,顕著な
mayhem,大混乱
defunct,現存しない
petrify,すくませる
invoke,行使する
rebuke,非難する
accolade,称賛
solace,慰め
fervent,熱心な
apathetic,無感動な
catalyst,きっかけ
wane,衰える
clout,影響力
override,覆す
secede,脱退する
appall,ぞっとさせる
debunk,正体を暴露する
vent,発散する
reiterate,繰り返して言う
compunction,後悔
deluge,大洪水
diffident,自信のない
mollify,なだめる
torment,苦しめる
douse,消す
debacle,大失敗
backlog,やり残し
resplendent,きらびやかな
quaint,古風で趣のある
tepid,なまぬるい
inundate,押し寄せる
rampage,暴れ回ること
echelon,段階
disdain,軽蔑
eschew,避ける
palatable,口に合う
referendum,国民投票
fickle,気まぐれな
tantamount,同等の
placid,静かな
heave,引っ張る
scrawl,殴り書きする
implore,懇願する
accost,近寄って話しかける
erratic,不安定な
absolve,無罪を言い渡す
hoard,蓄え
euphoric,幸福感にあふれた
incarcerate,投獄する
brevity,簡潔さ
pamper,甘やかす
culpable,とがめられるべき
impervious,無感覚な
prowess,卓越した力量
nonchalant,平然とした
dawdle,ぐずぐずする
capitulate,抵抗をやめる
rebuff,拒絶する
pedantic,細部にこだわる
squeamish,気分が悪くなる
diatribe,痛烈な批判
reprehensible,非難されるべき
cryptic,不可解な
exuberant,熱狂的な
pallid,青白い
acrid,辛らつな
penchant,嗜好
vigil,徹夜
sheepishly,きまり悪そうに
unkempt,だらしない
wince,顔をしかめる
dilapidated,荒れ果てた
blemish,しみ
paltry,ごくわずかな
ambivalent,相反する感情を持つ
hermit,隠者
quench,いやす
dispel,払いのける
wrath,猛烈な怒り
polarize,二分する
condolence,哀悼の意
charlatan,ペテン師
succinct,簡潔な
infraction,違反
detract,損なう
gorge,渓谷
acquittal,無罪判決
lurch,よろめく
adorn,装飾する
rubble,がれき
homage,敬意
stint,期間
procure,入手する
mortify,恥をかかせる
fret,くよくよする
denigrate,中傷する
consecrate,神にささげる
ultimatum,最終通告
fidelity,忠誠
premium,保険料
susceptible,影響されやすい
debris,がれき
revitalize,活性化する
instill,教え込む
hassle,煩わしいこと
opt,選択する
disparate,まったく異なる
elicit,引き出す
robust,強健な
shun,避ける
nomadic,遊牧の
disperse,分散する
havoc,大破壊
mar,損なう
inception,発足
resurgence,再起
delve,掘り下げる
embed,埋め込む
bestow,授ける
stringent,厳しい
dissipate,消滅する
hoax,虚偽の警報
astound,びっくり仰天させる
reinstate,復帰させる
momentous,きわめて重要な
adjunct,付属物
matrimony,結婚
subservient,従属的な
interlude,合間
decorum,礼儀正しい行動
rescind,撤回する
ruse,策略
undermine,ひそかに傷つける
scarcity,不足
profound,深刻な
deploy,展開させる
denounce,非難する
slash,大幅に削減する
liaison,連絡
rigorous,厳しい
mitigate,和らげる
imperative,絶対必要な
depict,表現する
amass,蓄える
dissent,異議
replenish,補充する
tangible,明白な
splurge,贅沢をする
savvy,やり手の
acclaim,称賛
gadget,装置
postulate,仮定する
manifest,明らかな
affinity,親近感
revert,戻る
vilify,中傷する
incapacitate,能力を奪う
calamity,災難
mortality,死亡
onslaught,激しい攻撃
revelation,驚くべき新事実
lull,なだめる
surmise,推測する
harness,利用する
solicit,請い求める
dispatch,派遣する
multitude,多数
supplant,取って代わる
imminent,差し迫った
wrangle,言い争う
scour,くまなく調べる
threshold,出発点
dividend,配当
pundit,専門家
incubate,化せさせる
attrition,自然減
incense,激怒させる
poach,密猟する
intercept,捕らえる
deceased,死去した
straddle,またがる
corrode,腐食させる
nurture,育てる
connotation,含意
anecdotal,逸話的な
smother,抑制する
tilt,傾く
embroil,巻き込む
exponent,主唱者
impeach,弾劾する
residual,残留している
boon,恩恵
retract,撤回する
insurrection,暴動
dispassionate,冷静な
wanton,理不尽な
fray,争い
defame,中傷する
veto,拒否権
buoyant,上向きの
invert,ひっくり返す
invigorate,活性化する
tyranny,専制政治
stitch,縫う
nimble,素早い
infiltrate,潜入する
persecute,迫害する
colloquial,口語の
trajectory,軌道
spurn,拒ぜつする
upend,ひっくり返す
conscientious,慎重な
onerous,骨の折れる
tycoon,巨頭
precept,原理
modulate,調節する
unwitting,知らず知らずの
espouse,支持する
inept,能力に欠ける
ostensible,表向きの
haphazardly,無計画に
opaque,不透明な
latent,潜在的な
extradite,引き渡す
revile,非難する
configuration,配置
veracity,正直さ
odious,忌まわしい
languid,元気がない
mangle,ひどく傷つける
extrapolate,推定する
terse,ぶっきらぼうな
distend,膨らむ
scoff,あざ笑う
felony,重罪
bucolic,田園的な
truncate,切り詰める
cordially,心から
amity,友好
truculent,攻撃的な
luminous,光を発する
ruffle,いら立たせる
incongruous,場にそぐわない
bellow,怒鳴る
decree,命じる
remuneration,報酬
coarse,きめの粗い
dissertation,学位論文
conveyance,運搬
periphery,周囲
extraneous,無関係の
enchant,魅了する
infantile,子どもっぽい
acclimate,慣れる
abstinence,節制
reverie,空想
tether,つなぐ
gratify,喜ばせる
pompous,尊大な
scruffy,薄汚い
censure,非難
flinch,ひるむ
duplicity,不誠実な行為
apparition,亡霊
spillage,こぼすこと
stampede,一斉に逃げる
clemency,寛大な措置
chide,叱る
trudge,重い足取りで歩く
edify,啓発する
sordid,浅ましい
alacrity,機敏さ
ludicrous,ばかげた
vehement,激しい
annulment,無効
docile,従順な
bombastic,大げさな
erudite,博学な
pernicious,非常に有害な
felicity,至福
scrounge,せびる
laborious,労力を要する
incinerate,焼却する
twitch,びくびく動く
strident,耳ざわりな
inclination,気持ち
clobber,打ち負かす
perturb,不安にする
billow,膨らむ
reticent,無口な
extrinsic,外部の
encumber,妨げる
restitution,返還
impel,駆り立てる
rankle,心を苦しめる
absurdity,ばかげたこと
onrush,突然の発展
cogitate,熟考する
gnaw,かじる
ingenious,見事な
deity,神
accede,同意する
entwine,絡ませる
lubricate,油を差す
paucity,不足
virulent,悪性の
debonair,感じのよい
deprecate,批判する
incriminate,罪を負わせる
pare,皮をむく
sullen,不機嫌な
delirious,錯乱して
schism,分裂
rendezvous,待ち合わせ
hibernate,冬眠する
egregious,実にひどい
equilibrium,均衡
prodigious,驚くべき
tinge,色合い
drool,よだれを垂らす
dainty,上品な
heist,強盗
facet,一面
anoint,指定する
malevolent,悪意のある
prowl,うろつく
beguile,だます
dissonance,不一致
incumbent,現職の
maim,重傷を負わせる
remnant,名残
topple,倒す
impertinent,生意気な
aberration,異常
chuckle,くすくす笑う
presumptuous,厚かましい
chasten,恥ずかしい思いをさせる
percolate,浸透する
jiggle,細かく揺れ動く
trepidation,不安
capricious,気まぐれな
crumple,しわくちゃにする
epiphany,突然のひらめき
elated,大喜びで
nominally,名目上の
abrasive,いらいらさせる
platitude,決まり文句
aspiration,野心
abhorrent,嫌悪感を抱かせて
auxiliary,補助の
nibble,少しずつかじる
penitent,後悔して
embitter,つらい思いをさせる
bungle,しくじる
hobble,足を引きずって歩く
satirize,風刺する
spree,ばか騒ぎ
improvise,即興で作る
